,Unnamed: 0,season,opening_date,name,theatre,type,all_nominations,all_Wins,tony_best_musical_nom,tony_best_musical_winner,tony_best_revival_musical_nom,tony_best_revival_musical_winner,tony_best_play_nom,tony_best_play_winner,tony_best_revival_play_nom,tony_best_revival_play_winner,performances,previews,play,musical,revival,year
987,987,2009,2009-10-26,Chance & Chemistry,Minskoff Theatre,Benefit Original,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2009
988,988,2009,2009-10-29,Finian's Rainbow,St. James Theatre,Musical Revival,16,1,0,0,1,0,0,0,0,0,92,22,0,1,1,2009
989,989,2009,2009-11-09,The 24 Hour Plays 2009,American Airlines Theatre,Original,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2009
990,990,2009,2009-11-09,Bernadette Peters: A Special Concert for Broadway Barks Because Broadway Cares,Minskoff Theatre,Original,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2009
991,991,2009,2009-11-15,Ragtime,Neil Simon Theatre,Musical Revival,18,2,0,0,1,0,0,0,0,0,65,28,0,1,1,2009
992,992,2009,2009-11-19,In the Next Room,Lyceum Theatre,Original,5,0,0,0,0,0,1,0,0,0,60,31,1,0,0,2009
993,993,2009,2009-11-22,Irving Berlin's White Christmas,Marquis Theatre,Musical Revival,8,0,0,0,0,0,0,0,0,0,51,13,0,1,1,2009
994,994,2009,2009-11-23,Fela!,Eugene O'Neill Theatre,Musical Original,21,7,1,0,0,0,0,0,0,0,463,34,0,1,0,2009
995,995,2009,2009-12-06,Race,Ethel Barrymore Theatre,Original,1,0,0,0,0,0,0,0,0,0,297,23,1,0,0,2009
996,996,2009,2009-12-13,A Little Night Music,Walter Kerr Theatre,Musical Revival,11,3,0,0,1,0,0,0,0,0,425,20,0,1,1,2009
997,997,2009,2010-01-21,Present Laughter,American Airlines Theatre,Revival,2,0,0,0,0,0,0,0,0,0,69,23,1,0,1,2010
998,998,2009,2010-01-24,A View from the Bridge,Cort Theatre,Play Revival,13,5,0,0,0,0,0,0,1,0,81,30,1,0,1,2010
999,999,2009,2010-01-28,Time Stands Still,Samuel J. Friedman Theatre,Play Drama Original,6,0,0,0,0,0,1,0,0,0,193,44,1,0,0,2010
1000,1000,2009,2010-03-03,The Miracle Worker,Circle in the Square Theatre,Drama Revival,0,0,0,0,0,0,0,0,0,0,38,21,1,0,1,2010
1001,1001,2009,2010-03-04,A Behanding in Spokane,Gerald Schoenfeld Theatre,Original,4,0,0,0,0,0,0,0,0,0,108,20,1,0,0,2010
1002,1002,2009,2010-03-11,Next Fall,Helen Hayes Theatre,Original,7,1,0,0,0,0,1,0,0,0,132,26,1,0,0,2010
1003,1003,2009,2010-03-14,Looped,Lyceum Theatre,Original,1,0,0,0,0,0,0,0,0,0,33,27,1,0,0,2010
1004,1004,2009,2010-03-18,All About Me,Henry Miller's Theatre,Musical Original,0,0,0,0,0,0,0,0,0,0,20,27,0,1,0,2010
1005,1005,2009,2010-03-25,Come Fly Away,Marquis Theatre,Dance Musical Original,12,2,0,0,0,0,0,0,0,0,188,26,0,1,0,2010
1006,1006,2009,2010-04-01,Red,John Golden Theatre,Original,20,14,0,0,0,0,1,1,0,0,101,22,1,0,0,2010
1007,1007,2009,2010-04-04,Lend Me a Tenor,Music Box Theatre,Revival,8,1,0,0,0,0,0,0,1,0,153,25,1,0,1,2010
1008,1008,2009,2010-04-08,The Addams Family,Lunt-Fontanne Theatre,Original,16,2,0,0,0,0,0,0,0,0,722,35,1,0,0,2010
1009,1009,2009,2010-04-11,Million Dollar Quartet,Nederlander Theatre,Original,6,2,1,0,0,0,0,0,0,0,489,34,1,0,0,2010
1010,1010,2009,2010-04-18,La Cage aux Folles,Longacre Theatre,Musical Comedy Revival,23,11,0,0,1,1,0,0,0,0,433,15,0,1,1,2010
1011,1011,2009,2010-04-20,American Idiot,St. James Theatre,Original,10,4,1,0,0,0,0,0,0,0,422,26,1,0,0,2010
1012,1012,2009,2010-04-22,Sondheim on Sondheim,Studio 54,Original,9,3,0,0,0,0,0,0,0,0,76,37,1,0,0,2010
1013,1013,2009,2010-04-25,"Promises, Promises",Broadway Theatre,Musical Revival,13,3,0,0,0,0,0,0,0,0,289,30,0,1,1,2010
1014,1014,2009,2010-04-26,Fences,Cort Theatre,Drama Revival,20,10,0,0,0,0,0,0,1,1,88,13,1,0,1,2010
1015,1015,2009,2010-04-26,The 24th Annual Easter Bonnet Competition - 2010,Minskoff Theatre,Original,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2010
1016,1016,2009,2010-04-27,Enron,Broadhurst Theatre,Original,6,0,0,0,0,0,0,0,0,0,16,22,1,0,0,2010
